38,40
104,472
110,788
644,404
358,820
388,432
472,478
334,586
74,540
98,772
100,800
174,514
360,442
356,804
108,456
134,550
462,702
86,580
84,612
106,584
370,644
108,476
194,698
594,528
84,408
72,434
86,658
354,494
682,692
518,640
72,540
550,490
112,372
86,512
600,650
88,536
78,562
456,688
80,662
74,420
392,864
104,658
282,568
88,734
86,458
86,788
130,558
82,710
356,588
86,466
434,460
68,458
86,530
74,432
88,430
80,644
432,554
114,766
80,532
74,538
346,426
86,476
314,662
78,628
456,554
74,804
420,448
150,448
90,538
464,514
80,514
108,420
234,654
78,468
76,558
74,530
84,514
100,524
88,616
422,458
266,692
82,456
408,392
334,734
592,454
78,716
106,414
88,604
86,448
72,404
448,666
82,668
106,556
250,518
80,588
90,516
102,676
114,526
780,614
72,690
448,450
122,514
252,646
320,538
84,508
86,518
494,562
446,706
98,648
406,768
112,374
86,470
84,654
76,592
470,540
434,592
402,418
394,412
78,554
372,668
78,546
84,348
558,400
78,742
82,498
74,1142
82,526
76,472
104,808
304,608
112,500
82,782
124,534
430,572
790,458
70,414
492,466
114,468
72,582
78,686
406,716
88,700
404,688
78,564
76,476
116,582
460,416
210,446
84,908
82,448
76,388
88,492
84,576
636,698
74,518
376,348
110,432
108,566
76,668
112,418
594,420
108,514
330,638
498,486
492,922
354,482
84,532
88,628
418,656
588,490
106,600
110,588
360,772
112,646
76,454
104,414
438,510
332,670
80,604
400,510
86,346
340,718
422,510
86,568
494,508
74,846
80,506
88,564
110,512
352,776
360,810
82,432
78,792
80,748
98,398
486,532
110,600
760,558
88,538
80,412
88,478
78,636
76,388
84,546
438,448
310,566
86,386
72,554
332,542
78,484
76,556
78,604
92,360
432,516
78,768
326,618
308,554
96,602
320,578
78,564
78,648
82,380
120,578
374,484
78,558
74,478
74,532
76,642
634,672
104,402
438,492
76,666
444,426
112,532
94,590
90,482
88,418
492,534
78,1050
360,462
76,668
72,652
552,500
506,410
84,580
452,600
628,650
96,648
140,628
356,600
412,400
76,706
470,538
72,434
82,752
100,426
72,564
76,548
376,566
438,426
82,648
90,604
114,446
82,434
108,678
72,514
74,684
108,426
108,640
122,728
106,462
78,482
84,398
80,408
88,564
200,356
88,582
106,680
354,452
516,412
80,616
454,614
74,454
86,464
102,672
500,468
672,518
110,492
84,572
320,594
300,438
592,400
94,806
276,584
78,426
100,976
82,480
436,514
102,522
78,524
488,414
204,482
86,824
92,460
82,598
80,486
102,390
414,722
148,470
74,634
80,688
122,398
86,512
82,398
458,664
98,416
596,862
78,572
558,496
82,784
84,454
474,636
128,536
372,858
662,446
476,658
476,464
100,420
136,650
102,702
76,432
118,464
406,862
74,504
314,504
80,712
86,572
84,414
80,800
82,570
360,418
76,870
72,484
90,346
84,856
74,508
70,602
86,670
90,472
108,574
450,592
86,606
658,468
84,514
404,530
72,612
86,518
88,386
88,446
78,596
70,546
